name_text,cardImage_text,bannerImage_text,description_text,spiritualSignificance_text
Andhra Pradesh,https://via.placeholder.com/150,https://via.placeholder.com/600,"Southern coastal state of India","Famous for Tirupati temple and rich Hindu culture"
Arunachal Pradesh,https://via.placeholder.com/150,https://via.placeholder.com/600,"Northeastern mountainous state","Known for Tawang Monastery and Buddhist heritage"
Assam,https://via.placeholder.com/150,https://via.placeholder.com/600,"Tea-growing state in northeast India","Kamakhya temple and Majuli river island"
Bihar,https://via.placeholder.com/150,https://via.placeholder.com/600,"Northern plains state of India","Nalanda University, Bodh Gaya, Mahabodhi Temple"
Chhattisgarh,https://via.placeholder.com/150,https://via.placeholder.com/600,"Central Indian state with forests and rivers","Famous for Chitrakoot Falls and ancient temples"
Goa,https://via.placeholder.com/150,https://via.placeholder.com/600,"Small coastal state in western India","Known for churches, temples, and spiritual festivals"
Gujarat,https://via.placeholder.com/150,https://via.placeholder.com/600,"Western state of India","Dwarka, Somnath temple, rich Vedic heritage"
Haryana,https://via.placeholder.com/150,https://via.placeholder.com/600,"Northern state surrounding Delhi","Kurukshetra, sacred land of Mahabharata"
Himachal Pradesh,https://via.placeholder.com/150,https://via.placeholder.com/600,"Himalayan state in north India","Temples in Kullu, Manali, sacred mountains"
Jharkhand,https://via.placeholder.com/150,https://via.placeholder.com/600,"Eastern state with forests and tribal heritage","Baidyanath Dham temple, spiritual retreats"
Karnataka,https://via.placeholder.com/150,https://via.placeholder.com/600,"Southern state with rich culture","Mysore Palace, Hampi temples, sacred rivers"
Kerala,https://via.placeholder.com/150,https://via.placeholder.com/600,"Southern coastal state","Sabarimala, backwaters, ancient temples"
Madhya Pradesh,https://via.placeholder.com/150,https://via.placeholder.com/600,"Central Indian state","Khajuraho temples, Omkareshwar, spiritual heritage"
Maharashtra,https://via.placeholder.com/150,https://via.placeholder.com/600,"Western state of India","Shirdi, Trimbakeshwar, Bhimashankar temples"
Manipur,https://via.placeholder.com/150,https://via.placeholder.com/600,"Northeast India state","Sacred forests and local temples"
Meghalaya,https://via.placeholder.com/150,https://via.placeholder.com/600,"Northeastern hill state","Sacred groves and spiritual landscapes"
Mizoram,https://via.placeholder.com/150,https://via.placeholder.com/600,"Northeastern hilly state","Tribal spiritual heritage and natural sacred sites"
Nagaland,https://via.placeholder.com/150,https://via.placeholder.com/600,"Northeast India with hills","Local sacred sites and tribal religious practices"
Odisha,https://via.placeholder.com/150,https://via.placeholder.com/600,"Eastern coastal state","Jagannath Puri, Konark Sun Temple, holy rivers"
Punjab,https://via.placeholder.com/150,https://via.placeholder.com/600,"Northern state of India","Golden Temple, Sikh spiritual center"
Rajasthan,https://via.placeholder.com/150,https://via.placeholder.com/600,"Western desert state","Temples in Jaipur, Pushkar, sacred forts"
Sikkim,https://via.placeholder.com/150,https://via.placeholder.com/600,"Northeast Himalayan state","Rumtek Monastery, sacred mountains and lakes"
Tamil Nadu,https://via.placeholder.com/150,https://via.placeholder.com/600,"Southern coastal state","Meenakshi Temple, Rameswaram, sacred pilgrimage sites"
Telangana,https://via.placeholder.com/150,https://via.placeholder.com/600,"Southern state in India","Bhadrachalam temple, rich spiritual traditions"
Tripura,https://via.placeholder.com/150,https://via.placeholder.com/600,"Northeast India state","Ancient temples and sacred groves"
Uttar Pradesh,https://via.placeholder.com/150,https://via.placeholder.com/600,"Northern plains state","Kashi, Varanasi ghats, Ayodhya spiritual sites"
Uttarakhand,https://via.placeholder.com/150,https://via.placeholder.com/600,"Northern Himalayan state","Haridwar, Rishikesh, Char Dham temples"
West Bengal,https://via.placeholder.com/150,https://via.placeholder.com/600,"Eastern state of India","Kalighat temple, Dakshineswar, spiritual rivers"
